codigo_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,log_pop_total,pct_unemployed_chilean,pct_unemployed_foreign,pct_unemployed,schooling_gap,median_age_gap
13201,564477,534717,29760,5.27213686297227,35.0,34.0,12.119722180162295,12.678511471740348,62.39990267376788,71.87045711516717,43.03022063100012,4334,2527,280,1527,VIH | Parotiditis | Coqueluche,76.77903616976423,Puente Alto,39492,38156,1336,3.382963638205206,4.784390194489466,4.790312434472636,4.615269461077844,1.51016687346484,2.248556669705257,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),699.6210651629739,13.243654917720535,37.60009732623212,28.12954288483283,32.86482010553247,-0.5587892915780532,1.0
13202,29060,28398,442,1.5209910529938058,37.0,40.0,12.411691088282838,13.803814713896458,65.06849315068493,77.71587743732591,0.4813682010501096,136,76,8,52,"VIH, Parotiditis, Chagas",46.79972470750173,Pirque,1731,1702,29,1.675332177931831,4.176776429809359,4.1574618096357225,5.310344827586207,1.4962449451184288,2.541883304448296,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",595.6641431520991,10.277117937124274,34.93150684931507,22.284122562674085,28.607814705994578,-1.3921236256136194,-3.0
13301,173293,149378,22498,13.09,33.0,35.0,12.61,12.78,59.95,70.0,45.82,1259,576,174,509,Parotiditis | VIH | Sifilis,72.65,Colina,14742,12697,2045,13.87,5.88,6.06,4.72,1.41,2.04,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",850.7,12.062739082504752,40.05,30.0,35.025,-0.16999999999999993,-2.0
13401,306371,284663,19544,6.38,34.0,33.0,11.6,12.24,60.81,71.16,45.28,2172,1129,149,894,"PAROTIDITIS, SIN COMPLICACIONES, no aplica, TOS FERINA, NO ESPECIFICADA",70.89443844228076,San Bernardo,44506,42580,1926,4.33,6.01,6.04,5.52,1.47,2.35,"EMBARAZO, PARTO Y PUERPERIO, ENFERMEDADES DEL APARATO DIGESTIVO, LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS",1452.68,12.632552064849632,39.19,28.840000000000003,34.015,-0.6400000000000006,1.0
13402,116969,110229,5960,5.0953671485607295,34.0,34.0,12.185436165190104,13.374942209893666,63.13281795243464,72.90721649484536,46.35211390963802,551,251,34,266,Parotiditis | VIH | Coqueluche,47.11,Buin,15457,14669,788,5.1,5.576291079812207,5.603302373581012,5.086142322097379,1.488645920941968,2.95658924759008,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1321.4612418675033,11.669664221407558,36.86718204756536,27.092783505154642,31.97998277636,-1.1895060447035615,0.0
13403,25491,24430,898,3.52,37.0,35.0,11.97,12.04,60.39,72.7,45.97,84,62,11,11,"no aplica, PAROTIDITIS, SIN COMPLICACIONES, HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",32.952806873014005,Calera de Tango,1539,1502,37,2.4,7.22,7.24,6.43,1.75,2.6,"LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS, ENFERMEDADES DEL APARATO RESPIRATORIO, ENFERMEDADES DEL APARATO DIGESTIVO",603.74,10.14608072767165,39.61,27.299999999999997,33.455,-0.06999999999999851,2.0
13501,136325,124407,11069,8.17,37.0,30.0,11.07,11.26,58.93,74.38,50.48,824,387,245,192,VIH | Chagas | Parotiditis,60.44,Melipilla,29404,26882,2522,8.58,4.98,5.09,3.89,1.23,2.23,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",2156.9,11.822797019794262,41.07,25.620000000000005,33.345,-0.1899999999999995,7.0
13502,7768,6871,879,11.34,37.0,28.0,10.6,11.38,63.78,77.52,51.0,28,14,9,5,Chagas | VIH | Parotiditis,36.04531410916581,Alhué,900,793,107,11.89,5.64,5.8,4.46,1.28,2.333,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1158.6,8.957768009971161,36.22,22.480000000000004,29.35,-0.7800000000000011,9.0
13504,15352,14996,319,2.08,38.0,31.0,10.6,11.46,61.08,69.2,52.0,32,24,4,4,VIH | Parotiditis | Chagas,20.844189682126107,María Pinto,1683,1630,53,3.15,4.78,4.83,3.11,1.2,1.664,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1096.3,9.639001037687535,38.92,30.799999999999997,34.86,-0.8600000000000012,7.0
13505,11108,9808,1260,11.343176089305006,40.0,29.0,9.734945120142392,9.659767141009056,60.40290620871862,75.82417582417582,56.82620358605111,731,19,19,0,Dato Faltante,609.1666666666666,San Pedro,1355,0,0,0.0,4.900369003690037,0.0,0.0,0.0,1.5498154981549817,Dato Faltante,1129.1666666666667,9.31542084842669,39.59709379128138,24.175824175824175,31.886458983552778,0.07517797913333624,11.0
13601,76429,71322,4559,6.01,36.0,32.0,11.83,12.26,59.75,69.74,46.76,314,186,32,96,VIH | Parotiditis | Chagas,41.08,Talagante,12342,11754,588,4.76,6.46,6.53,5.09,1.63,2.6,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1614.83,11.244117484283745,40.25,30.260000000000005,35.255,-0.4299999999999997,4.0
13602,37497,36404,915,2.45,36.0,34.0,10.9,12.53,60.75,69.14,50.0,146,93,18,35,VIH | Parotiditis | Sifilis,38.93644824919327,El Monte,4114,4015,99,2.41,5.95,5.98,4.66,1.62,2.552,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1097.2,10.532016208758332,39.25,30.86,35.055,-1.629999999999999,2.0
13603,39274,37775,1332,3.391556755105159,37.0,31.0,11.147838050314466,12.256438969764838,59.30163973103693,72.28915662650603,0.475634040954349,115,67,11,37,"VIH, Parotiditis, Sifilis",29.28145847125325,Isla de Maipo,2059,1989,70,3.3997085964060223,5.699854298203011,5.733534439416792,4.742857142857143,1.6192326372025254,1.6027197668771247,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",524.2654173244385,10.578318001310176,40.69836026896307,27.710843373493972,34.20460182122852,-1.1086009194503728,6.0
13604,81243,75497,5296,6.518715458562584,34.0,33.0,12.115747903265206,13.170451509484373,65.16893340088072,73.95402298850576,45.12084025507743,337,206,44,0,Dato Faltante,51.84615384615385,Padre Hurtado,4764,0,0,0.0,6.111880772460117,0.0,0.0,0.0,1.910159529806885,Dato Faltante,732.923076923077,11.305199942634374,34.83106659911928,26.045977011494244,30.438521805306763,-1.0547036062191673,1.0
13605,94402,90616,3235,3.426834177242008,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72,Peñaflor,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12,11.45531753834984,40.26083708239268,29.492560091568095,34.87669858698039,-1.012384228917261,2.0
